,latest_hosp_beds_per_1000,latest_doctors_per_1000,test_country,GDP_per_capita,SPAR_index,IVDI_score
0,2.40033656029489,1.12,Aruba,13536.7948287646,60.463238419039534,
1,0.5,0.284,Afghanistan,1955.0062077555701,34.0,0.25700206275
2,0.8,0.2149,Angola,6452.35516529031,58.76923076923077,0.27940214750000003
3,2.9,1.1998,Albania,13364.155396651398,60.463238419039534,0.63659942175
4,2.5,3.3333,Andorra,13536.7948287646,36.69230769230769,0.6793771903749999
5,1.2,2.3944,United Arab Emirates,75075.2574109804,94.61538461538461,0.718802013125
6,5.0,3.96,Argentina,20610.5685495282,64.38461538461539,0.670944938
7,4.2,2.8989999999999996,Armenia,10343.1755901515,83.3076923076923,0.68585381025
8,2.40033656029489,0.7809999999999999,American Samoa,13536.7948287646,60.463238419039534,
9,3.8,2.7647,Antigua and Barbuda,26868.133523842902,41.84615384615385,0.6224359775
10,3.8,3.5874,Australia,51663.3650948449,89.76923076923077,0.8179957652500001
11,7.6,5.1441,Austria,55454.689293289004,58.69230769230769,0.843357364
12,4.7,3.4466,Azerbaijan,18044.1367837983,83.3076923076923,0.565072612375
13,0.8,0.05,Burundi,744.182072008071,22.846153846153847,0.3590941
14,6.2,3.3234,Belgium,51407.9983373414,79.53846153846153,0.807574311625
15,0.5,0.1572,Benin,2424.7558448055497,34.61538461538461,0.261808648875
16,0.4,0.06,Burkina Faso,1984.8843059546,29.46153846153846,0.32229821449999996
17,0.8,0.5268,Bangladesh,4371.75498582046,58.46153846153846,0.4033355125
18,6.8,3.9879,Bulgaria,21960.3699424605,63.84615384615385,0.748566782375
19,2.0,0.9257,Bahrain,47303.0485062895,88.3076923076923,0.6627189713749999
20,2.9,1.9373,Bahamas,32087.729154744302,49.69230769230769,0.6649226125000001
21,3.5,2.0003,Bosnia and Herzegovina,14623.6740532923,32.53846153846154,0.537883701875
22,11.0,4.0772,Belarus,19994.804078800502,60.463238419039534,0.633559831625
23,1.3,1.1262,Belize,8648.088799572908,33.15384615384615,0.5515722032499999
24,6.3000001907000005,1.766,Bermuda,13536.7948287646,60.463238419039534,
25,1.1,1.6111,"Bolivia, Plurinational State of",7873.16624301,60.463238419039534,0.5240035708749999
26,2.2,2.1499,Brazil,16096.4009621464,86.6923076923077,0.6636115785000001
27,5.8,2.4886,Barbados,18554.129282384398,60.463238419039534,0.654558885
28,2.7,1.7701,Brunei Darussalam,80920.0486841005,60.463238419039534,0.7138726705
29,1.7,0.3715,Bhutan,10534.855703373001,52.84615384615385,0.449965344125
30,1.8,0.3688,Botswana,18615.7933362283,26.46153846153846,0.5599768541250001
31,1.0,0.0629,Central African Republic,859.935619639664,13.153846153846153,0.140473419375
32,2.7,2.6102,Canada,48130.255972504296,99.46153846153847,0.8893884466249999
33,4.7,4.2363,Switzerland,68060.9410452501,60.463238419039534,0.84066743475
34,10.595100402832001,1.5219999999999998,Channel Islands,13536.7948287646,60.463238419039534,
35,2.2,1.08,Chile,25222.527777144904,74.07692307692308,0.74369778175
36,4.2,1.7855,China,18236.6129816498,94.3076923076923,0.6762940894999999
37,0.4,0.2326,Côte d'Ivoire,4207.086934350639,44.30769230769231,0.265006014375
38,1.3,0.0898,Cameroon,3785.07997826904,37.69230769230769,0.39979678375
39,0.8,0.09,"Congo, The Democratic Republic of the",932.172006786861,34.38461538461539,0.246904998125
