,Province/State,country,latest_hosp_beds_per_1000,latest_doctors_per_1000,GDP_per_capita,SPAR_index,IVDI_score,city_pop,effective_dist,geo_dist,ann_pass_flux,connected_airports,1/10/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,12/08/19,12/11/19,12/12/19,12/15/19,12/17/19,12/18/19,12/19/19,12/20/19,12/21/19,12/22/19,12/23/19,12/24/19,12/25/19,12/26/19,12/27/19,12/28/19,12/29/19,12/30/19,12/31/19,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/2/20,3/3/20,3/4/20,Lat,Long,12/09/19,12/10/19,12/13/19,12/14/19,12/16/19,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20
67,0,Spain,3.0,4.0691000000000015,39715.439059486605,84.07692307692308,0.8087923086250001,1611.501852122109,13.584069465454547,9901.09337540909,3238250.2954545454,47.38636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,13.0,15.0,32.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,84.0,120.0,165.0,222.0,40.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,Sri Lanka,3.6,0.958,13473.6630942698,45.615384615384606,0.546700022125,1512.2210137455197,11.163192955,4431.625726750001,2019480.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,Sweden,2.6000000000000005,5.399600000000002,53208.8843603785,91.76923076923073,0.8692733465000001,985.2994973958334,13.262403660000002,7405.342656749999,2398144.46875,29.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,15.0,21.0,35.0,63.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,Switzerland,4.699999999999997,4.2363,68060.94104525015,60.463238419039506,0.8406674347500003,890.2925341896499,12.740777390124999,8624.783007104164,4996871.15625,68.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,56.0,90.0,46.81819999999999,8.227500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,Thailand,2.1,0.8095999999999999,19051.3333817112,79.46153846153847,0.6873298984999999,1862.2994002840908,7.3528588651249995,2074.7617687499996,6238799.75,32.9375,0.0,2.0,3.0,5.0,7.0,8.0,8.0,14.0,14.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,19.0,35.0,35.0,35.0,35.0,35.0,37.0,40.0,40.0,41.0,42.0,19.0,25.0,25.0,25.0,25.0,32.0,32.0,42.0,43.0,43.0,43.0,15.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,Tunisia,2.3000000000000003,1.2722,12502.820188687601,65.92307692307692,0.578445588875,858.9962464285715,12.56242033,9268.3354549,885761.6,27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,Ukraine,8.800000000000006,3.0074999999999967,9233.15046924005,75.07692307692302,0.6148604487500006,992.4336047223284,13.43191349051282,8434.716586846154,3857275.6025641025,54.8974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5384615384615385,6.153846153846154,6.153846153846154,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,1.5384615384615385,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,10.0,10.0,10.0,11.538461538461538,15.384615384615385,17.692307692307693,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,2.3076923076923075,2.3076923076923075,2.3076923076923075,27.692307692307693,30.76923076923077,39.46153846153846,65.61538461538461,53.47216923076923,4.884369230769232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,United Arab Emirates,1.2,2.3944000000000005,75075.2574109804,94.61538461538461,0.718802013125,1210.1699075023744,12.417795691111111,5798.434510444444,9665304.277777778,70.27777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,19.0,21.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,21.0,21.0,27.0,27.0,24.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,Viet Nam,2.6,0.8198999999999999,7447.81433404948,60.84615384615386,0.564129056625,1549.550023268398,10.211333042444444,1900.4137984444444,1303709.388888889,11.38888888888889,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,6.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,10.0,10.0,13.0,13.0,16.0,16.0,16.0,16.0,16.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Anhui,China,4.200000000000002,1.7854999999999994,18236.61298164981,94.30769230769232,0.6762940895000003,1389.9082037882665,5.8026467495769225,483.4651902538459,4596526.980769231,35.28846153846154,1.0,1.0,9.0,15.0,39.0,60.0,70.0,106.0,152.0,200.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,830.0,860.0,889.0,910.0,934.0,950.0,962.0,973.0,982.0,986.0,340.0,987.0,988.0,989.0,989.0,989.0,989.0,989.0,989.0,990.0,990.0,408.0,480.0,530.0,591.0,665.0,733.0,779.0,990.0,990.0,990.0,990.0,31.82569999999999,117.2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
