,1/10/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,12/08/19,12/11/19,12/12/19,12/15/19,12/17/19,12/18/19,12/19/19,12/20/19,12/21/19,12/22/19,12/23/19,12/24/19,12/25/19,12/26/19,12/27/19,12/28/29,12/29/19,12/30/19,12/31/19,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/2/20,3/3/20,3/4/20,Lat,Long,Province/State,country,lat_long
11,1,5.0,5.0,9.0,32.0,83.0,128.0,168.0,206.0,278.0,352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,1073.0,1105.0,1135.0,1169.0,1184.0,1212.0,1231.0,1246.0,1257.0,1262.0,493.0,1265.0,1267.0,1270.0,1271.0,1271.0,1271.0,1271.0,1272.0,1272.0,1272.0,566.0,675.0,764.0,851.0,914.0,981.0,1033.0,1272.0,1272.0,1272.0,1272.0,33.882020000000004,113.614,Henan,China,"33.882020000000004,113.61399999999999"
12,0,444.0,444.0,549.0,761.0,1058.0,1423.0,3554.0,3554.0,4903.0,5806.0,1,2,5,8,12,14,16,25,29,37,40,45,47,49,59,68,78,90,104,7153.0,31728.0,33366.0,33366.0,48206.0,54406.0,56249.0,58182.0,59989.0,61682.0,62031.0,11177.0,62442.0,62662.0,64084.0,64084.0,64287.0,64786.0,65187.0,65596.0,65914.0,66337.0,13522.0,16678.0,19665.0,22112.0,24953.0,27100.0,29631.0,66907.0,67103.0,67217.0,67332.0,30.9756,112.2707,Hubei,China,"30.9756,112.2707"
13,1,4.0,9.0,24.0,43.0,69.0,100.0,143.0,221.0,277.0,332.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.0,879.0,912.0,946.0,968.0,988.0,1001.0,1004.0,1006.0,1007.0,1008.0,463.0,1010.0,1011.0,1013.0,1016.0,1016.0,1016.0,1016.0,1017.0,1017.0,1018.0,521.0,593.0,661.0,711.0,772.0,803.0,838.0,1018.0,1018.0,1018.0,1018.0,27.6104,111.7088,Hunan,China,"27.6104,111.7088"
14,1,0.0,0.0,1.0,7.0,7.0,11.0,15.0,16.0,19.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,58.0,58.0,60.0,61.0,65.0,68.0,70.0,72.0,73.0,75.0,27.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,34.0,35.0,42.0,46.0,50.0,52.0,54.0,75.0,75.0,75.0,75.0,44.0935,113.9448,Inner Mongolia,China,"44.0935,113.9448"
15,0,1.0,5.0,9.0,18.0,33.0,47.0,70.0,99.0,129.0,168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0,492.0,515.0,543.0,570.0,593.0,604.0,617.0,626.0,629.0,631.0,236.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,271.0,308.0,341.0,373.0,408.0,439.0,468.0,631.0,631.0,631.0,631.0,32.9711,119.455,Jiangsu,China,"32.9711,119.455"
16,1,2.0,7.0,18.0,18.0,36.0,72.0,109.0,109.0,162.0,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.0,771.0,804.0,844.0,872.0,900.0,913.0,925.0,930.0,933.0,934.0,333.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,935.0,935.0,391.0,476.0,548.0,600.0,661.0,698.0,740.0,935.0,935.0,935.0,935.0,27.614,115.7221,Jiangxi,China,"27.614,115.7221"
17,1,0.0,1.0,3.0,4.0,4.0,6.0,8.0,9.0,14.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,80.0,81.0,83.0,84.0,86.0,88.0,89.0,89.0,89.0,90.0,23.0,91.0,91.0,91.0,91.0,93.0,93.0,93.0,93.0,93.0,93.0,31.0,42.0,54.0,59.0,65.0,69.0,78.0,93.0,93.0,93.0,93.0,43.6661,126.1923,Jilin,China,"43.6661,126.1923"
18,0,2.0,3.0,4.0,17.0,21.0,27.0,34.0,39.0,41.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,108.0,111.0,116.0,117.0,119.0,119.0,121.0,121.0,121.0,121.0,70.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,74.0,81.0,89.0,94.0,99.0,105.0,107.0,122.0,122.0,125.0,125.0,41.2956,122.6085,Liaoning,China,"41.2956,122.6085"
19,0,1.0,1.0,2.0,3.0,4.0,7.0,11.0,12.0,17.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,49.0,53.0,58.0,64.0,67.0,70.0,70.0,70.0,70.0,71.0,28.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,73.0,31.0,34.0,34.0,40.0,43.0,45.0,45.0,73.0,74.0,74.0,75.0,37.2692,106.1655,Ningxia,China,"37.2692,106.1655"
20,0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,6.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,11.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,13.0,15.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,35.7452,95.9956,Qinghai,China,"35.7452,95.9956"
21,0,0.0,3.0,5.0,15.0,22.0,35.0,46.0,56.0,63.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0,213.0,219.0,225.0,229.0,230.0,232.0,236.0,240.0,240.0,242.0,116.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,128.0,142.0,165.0,173.0,184.0,195.0,208.0,245.0,245.0,245.0,245.0,35.1917,108.8701,Shaanxi,China,"35.1917,108.8701"
22,0,2.0,6.0,15.0,27.0,46.0,75.0,95.0,130.0,158.0,184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0,466.0,487.0,497.0,509.0,523.0,532.0,537.0,541.0,543.0,544.0,230.0,546.0,749.0,750.0,754.0,755.0,756.0,756.0,756.0,756.0,756.0,259.0,275.0,307.0,347.0,386.0,416.0,444.0,758.0,758.0,758.0,758.0,36.3427,118.1498,Shandong,China,"36.3427,118.1498"
23,1,9.0,16.0,20.0,33.0,40.0,53.0,66.0,96.0,112.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0,299.0,303.0,311.0,315.0,318.0,326.0,328.0,333.0,333.0,333.0,182.0,334.0,334.0,335.0,335.0,335.0,336.0,337.0,337.0,337.0,337.0,203.0,219.0,243.0,257.0,277.0,286.0,293.0,337.0,337.0,338.0,338.0,31.202,121.4491,Shanghai,China,"31.201999999999998,121.4491"
24,1,1.0,1.0,1.0,6.0,9.0,13.0,27.0,27.0,35.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,119.0,124.0,126.0,126.0,127.0,128.0,129.0,130.0,131.0,131.0,66.0,132.0,132.0,132.0,132.0,133.0,133.0,133.0,133.0,133.0,133.0,74.0,81.0,81.0,96.0,104.0,115.0,119.0,133.0,133.0,133.0,133.0,37.5777,112.2922,Shanxi,China,"37.5777,112.2922"
25,0,5.0,8.0,15.0,28.0,44.0,69.0,90.0,108.0,142.0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.0,405.0,417.0,436.0,451.0,463.0,470.0,481.0,495.0,508.0,514.0,231.0,520.0,525.0,526.0,526.0,527.0,529.0,531.0,534.0,538.0,538.0,254.0,282.0,301.0,321.0,344.0,364.0,386.0,538.0,538.0,538.0,538.0,30.6171,102.7103,Sichuan,China,"30.6171,102.7103"
